"CEIN","RIRO","ARPA","CECO","CEPR","SYMO","CEVE","fake"
0,2.75,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,1
0,0,0,18,0,2.75,0,1
0,1,0,0,0,1,0,1
1,0,0,0,0,0,0,1
1,0,0,0,1,0,0,1
0,1,19.5,18,0,21.25,0,1
2.75,1,1,1,0,0,0,1
1,1,0,0,0,4.5,0,1
40.5,1,0,0,1,1,0,1
11.25,1,1,0,0,0,0,1
1,1,0,0,0,0,0,1
18,0,0,0,0,0,0,1
2.75,0,0,0,0,0,0,1
4.5,1,0,0,0,0,0,1
50.5,1,0,0,0,4.5,0,1
21.25,1,2.75,0,0,0,0,1
63,1,1,0,4.5,0,0,1
75.5,2.75,0,0,0,0,0,1
88,1,0,0,0,0,0,1
28,0,0,0,0,0,0,1
0,1,0,4.5,4.5,0,0,1
11.25,1,1,0,0,4.5,0,1
4.5,0,0,0,0,1,0,1
0,0,1,1,0,0,0,1
2.75,2.75,0,0,0,2.75,0,1
11.25,11.25,0,21.25,0,4.5,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,18,1,0,0,4.5,1,1
0,0,0,0,0,1,0,1
21.25,1,0,0,4.5,0,18,1
1,0,0,0,1,0,0,1
0,1,1,4.5,1,0,0,1
0,1,0,1,0,0,0,1
2.75,0,0,0,0,0,0,1
4.5,1,0,4.5,11.25,4.5,4.5,1
0,0,1,1,0,1,0,1
1,4.5,28,63,0,0,0,1
0,0,2.75,18,0,1,0,1
0,1,1,0,33.75,0,0,1
63,2.75,1,0,0,0,0,1
4.5,0,0,0,1,0,0,1
0,1,11.25,38,0,0,0,1
75.5,4.5,0,0,0,0,0,1
18,0,0,0,0,4.5,0,1
18,4.5,4.5,0,0,0,1,1
0,2.75,0,0,0,0,0,1
50.5,0,0,0,0,0,0,1
0,1,4.5,4.5,4.5,0,0,1
0,4.5,28,38,0,0,0,1
11.25,1,0,0,0,0,0,1
4.5,1,0,0,0,0,0,1
46.25,1,9.5,0,0,4.5,0,1
19.5,1,0,0,0,0,0,1
0,1,4.5,53,0,0,0,1
0,2.75,0,38,0,0,0,1
38,2.75,4.5,0,1,4.5,0,1
46.25,4.5,0,0,0,0,0,1
28,4.5,2.75,4.5,1,4.5,0,1
18,1,0,0,1,0,0,1
4.5,0,0,33.75,1,0,4.5,1
75.5,4.5,0,1,0,0,1,1
28,2.75,0,0,1,0,1,1
4.5,4.5,1,40.5,0,0,0,1
0,1,1,50.5,1,0,0,1
28,1,0,0,4.5,0,1,1
0,2.75,4.5,4.5,0,0,0,1
0,0,11.25,88,0,0,0,1
18,2.75,18,63,1,0,0,1
18,2.75,18,0,0,0,38,1
63,0,11.25,0,0,0,0,1
18,0,4.5,0,0,0,0,1
53,0,0,0,0,0,0,1
46.25,0,11.25,4.5,4.5,0,53,1
11.25,4.5,4.5,18,0,0,11.25,1
28,1,21.25,0,1,0,0,1
38,0,50.5,21.25,0,0,0,1
63,1,1,0,0,0,4.5,1
1,1,0,38,4.5,0,0,1
0,4.5,9.5,28,0,4.5,0,1
28,0,2.75,0,1,0,1,1
75.5,1,2.75,0,0,2.75,0,1
50.5,1,0,4.5,0,0,0,1
63,0,0,0,0,0,0,1
0,2.75,0,50.5,0,0,0,1
0,0,2.75,18,2.75,0,0,1
0,1,0,38,0,0,0,1
9.5,4.5,0,0,0,0,18,1
11.25,4.5,2.75,18,0,0,0,1
1,1,28,63,0,0,0,1
